Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
ZSX,"Services excluding transport, postal, and warehousing",2017Q4,715,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q1,685,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q2,713,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q3,690,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2018Q4,702,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q1,739,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q2,735,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q3,766,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2019Q4,747,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q1,708,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q2,615,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q3,691,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2020Q4,701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q1,672,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q2,678,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q3,657,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2021Q4,665,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q1,722,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q2,709,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q3,676,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSX,"Services excluding transport, postal, and warehousing",2022Q4,645,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q1,18093,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q2,18301,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q3,18388,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2014Q4,18555,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q1,18458,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q2,18144,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q3,18165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2015Q4,18119,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q1,17864,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q2,17770,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q3,17844,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2016Q4,17367,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q1,17575,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q2,18075,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q3,18217,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2017Q4,18307,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q1,17946,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q2,17997,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q3,18266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2018Q4,18482,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q1,18780,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q2,18487,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q3,18333,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2019Q4,18311,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q1,18123,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q2,16753,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q3,17722,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2020Q4,17555,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q1,17422,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q2,18146,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q3,16805,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2021Q4,16730,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q1,16858,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q2,16953,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q3,16554,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZ9,Total industry,2022Q4,16300,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q1,1959,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q2,1985,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q3,2025,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2014Q4,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q1,2063,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q2,2091,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q3,2106,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2015Q4,2128,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q1,2118,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q2,2117,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q3,2165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2016Q4,2174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q1,2234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q2,2257,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q3,2222,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2017Q4,2198,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q1,2204,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q2,2203,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q3,2198,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2018Q4,2241,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q1,2216,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q2,2219,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q3,2223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2019Q4,2188,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q1,2185,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q2,1601,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q3,2200,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2020Q4,2277,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q1,2282,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q2,2297,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q3,1964,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2021Q4,2087,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q1,2183,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q2,2149,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q3,2174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HHD,Households,2022Q4,2133,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q1,1739,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q2,1769,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q3,1808,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2014Q4,1804,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q1,1845,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q2,1860,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q3,1867,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2015Q4,1900,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q1,1896,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q2,1897,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q3,1940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2016Q4,1940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q1,1985,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q2,2021,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q3,1989,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2017Q4,1977,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q1,1966,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q2,1963,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q3,1970,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2018Q4,2007,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q1,1994,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q2,1983,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q3,1991,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2019Q4,1947,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q1,1944,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q2,1378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q3,1964,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2020Q4,2040,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q1,2051,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q2,2064,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q3,1733,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2021Q4,1858,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q1,1959,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q2,1934,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q3,1958,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH1,Transport,2022Q4,1909,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q1,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q2,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q3,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2014Q4,161,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q1,155,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q2,165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q3,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2015Q4,164,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q1,153,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q2,154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q3,160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2016Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q1,181,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q2,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q3,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2017Q4,154,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q1,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q2,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q3,163,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2018Q4,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q1,157,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q2,171,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q3,168,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2019Q4,175,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q1,177,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q2,166,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q3,173,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2020Q4,171,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q1,169,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q2,172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q3,174,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2021Q4,170,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q1,165,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q2,156,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q3,158,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH2,Heating/cooling,2022Q4,164,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q1,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q2,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q3,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2014Q4,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q1,63,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q3,70,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2015Q4,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q1,69,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q3,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2016Q4,69,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q1,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q2,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q3,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2017Q4,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q1,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q2,67,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q3,64,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2018Q4,68,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q1,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q2,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q3,64,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2019Q4,66,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q1,64,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q2,56,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q3,63,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2020Q4,65,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q1,62,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q2,61,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q3,57,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2021Q4,59,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2022Q1,59,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2022Q2,59,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2022Q3,59,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
HH3,Other,2022Q4,60,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q1,20061,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q2,20269,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q3,20411,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2014Q4,20585,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q1,20531,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q2,20230,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q3,20280,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2015Q4,20244,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q1,19983,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q2,19888,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q3,20015,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2016Q4,19533,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q1,19786,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q2,20350,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q3,20443,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2017Q4,20505,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q1,20135,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q2,20210,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q3,20471,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2018Q4,20723,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q1,20988,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q2,20711,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q3,20571,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2019Q4,20500,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q1,20283,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q2,18318,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q3,19951,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2020Q4,19833,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q1,19658,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q2,20454,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q3,18804,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2021Q4,18817,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2022Q1,18995,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2022Q2,19108,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2022Q3,18771,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZZZ,Total,2022Q4,18431,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q1,12426,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q2,9100,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q3,9751,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2014Q4,11824,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q1,12132,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q2,9029,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q3,9690,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2015Q4,11714,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q1,12016,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q2,8859,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q3,9525,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2016Q4,11498,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q1,11944,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q2,8849,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q3,9569,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2017Q4,11592,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q1,12114,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q2,8944,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q3,9620,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2018Q4,11557,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q1,12561,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q2,9160,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q3,9336,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2019Q4,11470,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q1,12488,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q2,8989,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q3,9305,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2020Q4,11465,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q1,12037,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q2,8851,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q3,9350,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2021Q4,11317,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q1,11886,Actual,Kilotonnes,Carbon dioxide equivalents,P
ZPZ,Primary industries,2022Q2,8713,Actual,Kilotonnes,Carbon dioxide equivalents,P
