Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
CCZ,Manufacturing,2014Q4,3088,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q1,3043,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q2,3016,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q3,2924,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2015Q4,2838,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q1,2918,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q2,2899,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q3,2968,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2016Q4,2602,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q1,2930,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q2,2846,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q3,2737,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2017Q4,2825,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q1,2664,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q2,2778,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q3,2971,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2018Q4,2804,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q1,2923,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q2,2862,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q3,2844,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2019Q4,2856,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q1,2589,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q2,2525,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q3,2588,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2020Q4,2625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q1,2603,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q2,2631,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q3,2386,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2021Q4,2518,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q1,2580,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q2,2405,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q3,2193,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
CCZ,Manufacturing,2022Q4,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2014Q1,1982,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2014Q2,2119,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2014Q3,2027,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2014Q4,2112,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2015Q1,2278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2015Q2,1891,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2015Q3,1977,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2015Q4,1940,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2016Q1,1901,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2016Q2,1849,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2016Q3,1685,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2016Q4,1519,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2017Q1,1538,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2017Q2,2003,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2017Q3,2066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2017Q4,1959,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2018Q1,1898,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2018Q2,1753,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2018Q3,1806,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2018Q4,2033,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2019Q1,2175,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2019Q2,1925,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2019Q3,2139,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2019Q4,1830,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2020Q1,2042,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2020Q2,1982,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2020Q3,2557,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2020Q4,1936,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2021Q1,2340,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2021Q2,2711,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2021Q3,1927,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2021Q4,1368,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2022Q1,1861,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2022Q2,2016,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2022Q3,1503,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,Electricity,gas,water,waste services",2022Q4,1219,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q1,296,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q2,313,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q3,337,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q4,308,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q1,310,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q2,321,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q3,317,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q4,321,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q1,316,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q2,336,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q3,342,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q4,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q1,374,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q2,389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q3,420,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q4,450,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q1,450,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q2,475,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q3,460,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q4,465,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q1,449,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q2,437,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,435,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,447,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,410,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,300,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,482,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,466,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,481,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,487,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,419,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
